01/09/2026 | DCM | Delivery Part Local | SUZUKI CIKARANG | 1
01/09/2026 | DCM | Pengambilan Compond | IRC RUBBER | 1
02/09/2026 | DCM | Delivery Part Local dan Export | SUZUKI CIKARANG DAN TAMBUN | 1
02/09/2026 | DCM | Pengambilan Compond | IRC RUBBER | 1
03/09/2026 | DCM | Delivery Part Local | SUZUKI CIKARANG | 1
03/09/2026 | DCM | Pengambilan Compond | IRC RUBBER | 1
04/09/2026 | DCM | Delivery Part Local dan Export | SUZUKI CIKARANG DAN TAMBUN | 1
05/09/2026 | DCM | Off | No Delivery |
06/09/2026 | DCM | Off | No Delivery |
07/09/2026 | DCM | Delivery Part Local | SUZUKI CIKARANG | 1
07/09/2026 | DCM | Pengambilan Compond | IRC RUBBER | 1
08/09/2026 | DCM | Delivery Part Local dan Export | SUZUKI CIKARANG DAN TAMBUN | 1
08/09/2026 | DCM | Pengambilan Compond | IRC RUBBER | 1
09/09/2026 | DCM | Delivery Part Local | SUZUKI CIKARANG | 1
09/09/2026 | DCM | Pengambilan Compond | IRC RUBBER | 1
10/09/2026 | DCM | Delivery Part Local dan Export | SUZUKI CIKARANG DAN TAMBUN | 1
10/09/2026 | DCM | Pengambilan Compond | IRC RUBBER | 1
11/09/2026 | DCM | Delivery Part Local | SUZUKI CIKARANG | 1
12/09/2026 | DCM | Off | No Delivery |
13/09/2026 | DCM | Off | No Delivery |
14/09/2026 | DCM | Delivery Part Local dan Export | SUZUKI CIKARANG DAN TAMBUN | 1
14/09/2026 | DCM | Pengambilan Compond | IRC RUBBER | 1


